#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
ランポスＳアーム,0,1,4,2,4,7,38,117,0,0,0,-5,3,攻撃,4,千里眼,2,麻痺,-1,気絶,1,,,ランポスの尖爪,4,鳴き袋,4,鳥竜玉,1,天空の結晶,2
ランポスＳガード,0,2,4,2,4,7,19,77,1,1,1,-4,4,攻撃,3,千里眼,2,麻痺,-1,気絶,1,,,ランポスの尖爪,4,鳴き袋,4,鳥竜玉,1,天空の結晶,2
クックＳアーム,0,1,4,2,4,99,43,118,3,0,-2,-4,2,攻撃,3,火耐性,1,水耐性,-3,肉食,2,,,怪鳥の上鱗,3,怪鳥の堅殻,2,怪鳥の翼膜,2,,
クックＳガード,0,2,4,2,4,99,21,78,4,1,-1,-3,3,攻撃,3,火耐性,1,水耐性,-3,肉食,2,,,怪鳥の上鱗,3,怪鳥の堅殻,2,怪鳥の翼膜,2,,
ランゴアーム,0,1,4,0,4,99,36,117,-5,-5,2,-4,2,特殊攻撃,2,対防御DOWN,2,毒,-2,麻痺,2,,,ランゴスタの薄羽,1,とがった爪,4,モンスターの濃汁,2,,
ランゴガード,0,2,4,0,4,99,18,77,-4,-4,3,-3,3,特殊攻撃,2,対防御DOWN,2,毒,-2,麻痺,2,,,ランゴスタの薄羽,1,とがった爪,4,モンスターの濃汁,2,,
ガレオスアーム,0,1,4,1,4,7,40,117,-3,2,-4,2,0,防御,3,耐暑,1,腹減り,3,気絶,-1,,,砂竜の上鱗,3,砂竜の上ヒレ,1,マカライト鉱石,8,レビテライト鉱石,2
ガレオスガード,0,2,4,1,4,7,20,77,-2,3,-3,3,1,防御,3,耐暑,1,腹減り,3,気絶,-1,,,砂竜の上鱗,3,砂竜の上ヒレ,1,マカライト鉱石,8,レビテライト鉱石,2
ラングロアーム,0,1,4,1,5,99,47,120,1,-3,0,-1,1,細菌学,1,回避性能,2,耐寒,-2,耐震,2,,,赤甲獣の堅殻,2,魅惑色の柔皮,4,ドラグライト鉱石,5,,
ラングロガード,0,2,4,2,5,99,24,79,2,-2,1,0,2,細菌学,1,回避性能,2,耐寒,-2,耐震,1,,,赤甲獣の堅殻,2,魅惑色の柔皮,4,ドラグライト鉱石,5,,
ザザミアーム,0,1,4,2,4,7,40,117,-3,3,-4,0,1,防御,1,ガード性能,1,雷耐性,-2,,,,,盾蟹の堅殻,2,盾蟹の尖爪,2,カブレライト鉱石,2,とがった爪,4
ザザミガード,0,2,4,2,4,7,20,77,-2,4,-3,1,2,防御,1,ガード性能,1,雷耐性,-2,,,,,盾蟹の堅殻,2,盾蟹の尖爪,2,カブレライト鉱石,2,とがった爪,4
ペッコアーム,0,1,4,1,4,7,36,117,2,-1,0,-3,0,広域,3,笛,1,,,,,,,徹甲虫の薄羽,3,極彩色の羽根,1,上質な毛皮,1,,
ペッコガード,0,2,4,1,4,7,18,77,3,0,1,-2,1,広域,4,笛,1,,,,,,,徹甲虫の薄羽,3,極彩色の羽根,1,上質な毛皮,1,,
ガノスアーム,0,1,4,1,99,4,20,122,-4,3,-5,2,2,捕獲,3,スタミナ,2,耐暑,2,高速設置,4,,,水竜の鱗,3,肉厚な皮,2,カワズの油,2,,
ガノスガード,0,2,4,1,99,4,10,76,-3,4,-4,3,3,捕獲,2,スタミナ,1,耐暑,2,高速設置,4,,,水竜の鱗,3,肉厚な皮,2,カワズの油,2,,
レザーＳアーム,0,1,4,1,4,7,22,114,-2,0,0,0,2,採取,3,運気,-1,高速収集,1,,,,,上質な毛皮,1,竜骨【大】,3,盾虫の堅殻,1,,
レザーＳガード,0,2,4,1,4,7,11,75,-1,1,1,1,3,採取,3,運気,-1,高速収集,1,,,,,上質な毛皮,1,竜骨【大】,3,盾虫の堅殻,1,,
ブレイブＳアーム,0,1,4,1,4,7,18,114,3,0,0,0,2,採取,5,体力,-3,回復速度,1,乗り,1,,,天空の結晶,2,上質な毛皮,1,ランポスの上鱗,2,ドラグライト鉱石,4
ブレイブＳガード,0,2,4,1,4,7,9,75,4,1,1,1,3,採取,5,体力,-3,回復速度,1,乗り,2,,,天空の結晶,2,上質な毛皮,1,ランポスの上鱗,2,ドラグライト鉱石,4
チェーンＳアーム,0,1,4,1,4,7,23,115,2,2,-3,1,0,体力,3,調合成功率,1,腹減り,2,睡眠,-2,,,カブレライト鉱石,2,氷結晶,2,大地の結晶,2,,
チェーンＳガード,0,2,4,1,4,7,11,75,3,3,-2,2,1,体力,3,調合成功率,1,腹減り,2,睡眠,-2,,,カブレライト鉱石,2,氷結晶,2,大地の結晶,2,,
ハンターＳアーム,0,1,4,1,4,7,26,116,0,2,-4,0,0,千里眼,1,調合成功率,1,狩人,3,毒,-1,,,カブレライト鉱石,2,ジャギィの上鱗,2,大地の結晶,2,竜骨【大】,2
ハンターＳガード,0,2,4,1,4,7,13,75,1,3,-3,1,1,千里眼,1,調合成功率,1,狩人,3,毒,-1,,,カブレライト鉱石,2,ジャギィの上鱗,2,大地の結晶,2,竜骨【大】,2
ボーンＳアーム,0,1,4,0,4,7,27,117,2,0,-1,-3,0,KO,3,観察眼,4,笛,1,睡眠,-1,,,上質な鳥竜骨,2,竜骨【大】,1,とがった牙,5,,
ボーンＳガード,0,2,4,0,4,7,13,75,3,1,0,-2,1,KO,3,観察眼,4,笛,1,睡眠,-1,,,上質な鳥竜骨,2,竜骨【大】,1,とがった牙,5,,
アロイＳアーム,0,1,4,0,4,7,28,116,-1,2,-3,-2,0,防御,4,採取,-1,達人,2,風圧,1,,,カブレライト鉱石,3,レビテライト鉱石,2,マカライト鉱石,7,大地の結晶,7
アロイＳガード,0,2,4,0,4,7,14,75,0,3,-2,-1,1,装填速度,3,採取,-2,散弾強化,3,散弾追加,2,,,カブレライト鉱石,3,レビテライト鉱石,2,マカライト鉱石,7,大地の結晶,7
マギュルラーマ,0,1,4,0,99,4,19,121,-4,1,0,2,0,重撃,2,溜め短縮,3,調合成功率,1,調合数,2,回復速度,3,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
マギュルアスト,0,2,4,0,99,4,9,75,-3,2,1,3,1,重撃,2,溜め短縮,3,調合成功率,1,調合数,2,回復速度,3,ペピポパンプキン,2,キラビートル,2,ツラヌキの実,10,トウガラシ,10
ロワーガマーノ,1,1,4,1,3,5,18,120,-4,0,3,-1,1,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
ロワーガブラッソ,1,2,4,1,3,5,9,75,-3,1,4,0,2,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
ファルメルマーノ,2,1,4,1,3,5,18,120,-4,0,3,-1,1,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
ファルメルブラッソ,2,2,4,1,3,5,9,75,-3,1,4,0,2,属性解放,1,聴覚保護,1,龍属性攻撃,3,加護,-3,,,オオクワアゲハ,1,レビテライト鉱石,2,アルビノエキス,5,にが虫,10
キングロブスタアーム,0,1,4,1,99,4,16,118,-2,5,-5,2,-2,回避性能,2,回避距離,1,火耐性,-3,,,,,エビの小殻,2,化け鮫のヒレ,1,カワズの油,2,大地の結晶,4
キングロブスタガード,0,2,4,1,99,4,8,74,-1,6,-4,3,-1,回避性能,2,回避距離,1,火耐性,-3,,,,,エビの小殻,2,化け鮫のヒレ,1,カワズの油,2,大地の結晶,4
ガーディアンアーム,1,1,4,1,2,99,18,120,0,0,0,0,0,採取,-2,砲術,4,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ガーディアンガード,1,2,4,1,2,99,9,75,1,1,1,1,1,採取,-2,広域,3,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ヘルパーグラブ,2,1,4,1,2,99,18,120,0,0,0,0,0,採取,-2,砲術,4,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ヘルパーカフス,2,2,4,1,2,99,9,75,1,1,1,1,1,採取,-2,広域,3,加護,2,,,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,
ギルドバードアーム,1,1,4,1,3,99,20,122,0,0,0,0,0,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
ギルドバードカフス,1,2,4,1,3,99,10,76,1,1,1,1,1,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
スカラーグラブ,2,1,4,1,3,99,20,122,0,0,0,0,0,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
スカラーカフス,2,2,4,1,3,99,10,76,1,1,1,1,1,運気,3,広域,4,気配,-3,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3
コンガＵアーム,0,1,5,1,4,7,40,117,1,0,0,-4,3,底力,2,爆弾強化,2,腹減り,-1,,,,,緑毛獣の剛毛,2,緑毛獣の尖爪,3,コンガの剛毛,4,とがった爪,4
コンガＵガード,0,2,5,1,4,7,20,77,2,1,1,-3,4,底力,2,爆弾強化,2,腹減り,-1,,,,,緑毛獣の剛毛,2,緑毛獣の尖爪,3,コンガの剛毛,4,とがった爪,4
ゲリョスＳアーム,0,1,5,2,4,7,47,120,-5,2,3,-2,0,達人,2,腹減り,-2,毒,2,,,,,ゴム質の上皮,4,モンスターの濃汁,2,大地の結晶,4,ゲネポスの上鱗,2
ゲリョスＳガード,0,2,5,2,4,7,23,78,-4,3,4,-1,1,達人,2,腹減り,-2,毒,2,,,,,ゴム質の上皮,4,モンスターの濃汁,2,大地の結晶,4,ゲネポスの上鱗,2
カブラＳアーム,0,1,5,1,4,7,48,121,3,-5,-4,0,2,防御,4,採取,-2,体力,1,研ぎ師,2,,,鬼蛙の尖爪,2,鬼蛙の堅殻,4,鬼蛙の上鱗,2,ドスヘラクレス,5
カブラＳガード,0,2,5,1,4,7,24,78,4,-4,-3,1,3,装填速度,2,防御,4,採取,-2,体力,1,,,鬼蛙の尖爪,2,鬼蛙の堅殻,4,鬼蛙の上鱗,2,ドスヘラクレス,5
スキュラＳアーム,0,1,5,0,4,7,48,121,-3,3,-3,2,3,達人,3,観察眼,1,腹減り,-3,高速設置,4,毒,3,影蜘蛛の鋭爪,4,影蜘蛛の堅殻,2,堅牢な骨,1,盾虫の堅殻,3
スキュラＳガード,0,2,5,0,4,7,24,78,-2,4,-2,3,4,達人,3,観察眼,1,腹減り,-3,高速設置,4,毒,3,影蜘蛛の鋭爪,4,影蜘蛛の堅殻,2,堅牢な骨,1,盾虫の堅殻,3
ザボアＳアーム,0,1,5,2,5,8,53,124,-4,3,-5,3,0,氷属性攻撃,3,食事,2,腹減り,-3,,,,,化け鮫の上皮,4,化け鮫の上鱗,2,化け鮫の鱗,3,鮫肌の鱗,2
ザボアＳガード,0,2,5,2,5,8,27,79,-3,4,-4,4,1,氷属性攻撃,3,食事,2,腹減り,-3,,,,,化け鮫の上皮,4,化け鮫の上鱗,2,化け鮫の鱗,3,鮫肌の鱗,2
ガララＳアーム,0,1,5,0,5,8,55,124,3,-3,0,-5,3,捕獲,3,聴覚保護,3,気まぐれ,-3,麻痺,3,,,絞蛇竜の堅殻,5,絞蛇竜の甲殻,6,絞蛇竜の骨髄,2,ゲネポスの上皮,3
ガララＳガード,0,2,5,0,5,8,28,80,4,-2,1,-4,4,捕獲,3,聴覚保護,2,気まぐれ,-3,麻痺,4,,,絞蛇竜の堅殻,5,絞蛇竜の甲殻,6,絞蛇竜の骨髄,2,ゲネポスの上皮,3
フルフルＳアーム,0,1,5,1,5,8,50,121,-5,1,1,2,1,雷属性攻撃,3,広域,2,回復速度,2,気絶,-1,,,真珠色の柔皮,2,カブレライト鉱石,2,肉厚な上皮,5,上竜骨,2
フルフルＳガード,0,2,5,1,5,8,25,79,-4,2,2,3,2,雷属性攻撃,3,広域,2,回復速度,2,気絶,-1,,,真珠色の柔皮,2,カブレライト鉱石,2,肉厚な上皮,5,上竜骨,2
レイアＳアーム,0,1,5,1,5,8,50,121,3,0,-2,0,-4,体力,3,火属性攻撃,4,回復量,1,回復速度,-1,,,雌火竜の堅殻,4,火竜の翼爪,3,雌火竜の棘,2,紅蓮石,3
レイアＳガード,0,2,5,1,5,8,25,79,4,1,-1,1,-3,体力,3,火属性攻撃,4,回復量,1,回復速度,-1,,,雌火竜の堅殻,4,火竜の翼爪,3,雌火竜の棘,2,紅蓮石,3
レウスＳアーム,0,1,5,1,5,8,57,126,3,0,-2,0,-4,攻撃,5,火属性攻撃,2,回復量,-2,,,,,火竜の上鱗,4,火竜の翼爪,2,火竜の尻尾,1,獄炎石,2
レウスＳガード,0,2,5,1,5,8,28,80,4,1,-1,1,-3,攻撃,4,火属性攻撃,3,回復量,-2,,,,,火竜の上鱗,4,火竜の翼爪,2,火竜の尻尾,1,獄炎石,2
レックスＳアーム,0,1,5,2,5,8,55,124,2,-1,-4,0,-2,匠,2,攻撃,2,研ぎ師,-2,食いしん坊,2,,,轟竜の鋭牙,3,轟竜の上鱗,6,堅竜骨,2,狗竜の皮,5
レックスＳガード,0,2,5,2,5,8,28,80,3,0,-3,1,-1,反動,-2,攻撃,2,装填数,2,食いしん坊,2,,,轟竜の鋭牙,3,轟竜の上鱗,6,堅竜骨,2,狗竜の皮,5
ジンオウＳアーム,0,1,5,0,5,8,52,123,0,-2,3,-4,1,剣術,1,本気,5,斬れ味,3,雷属性攻撃,3,気配,-2,雷狼竜の尖爪,5,雷狼竜の高電殻,4,雷狼竜の帯電毛,3,徹甲虫の堅殻,6
ジンオウＳガード,0,2,5,0,5,8,26,79,1,-1,4,-3,2,装填速度,3,本気,4,装填数,2,雷属性攻撃,3,気配,-2,雷狼竜の尖爪,5,雷狼竜の高電殻,4,雷狼竜の帯電毛,3,徹甲虫の堅殻,6
セルタスＳアーム,0,1,5,2,5,8,53,124,-4,3,-1,-3,3,匠,2,砲術,2,斬れ味,1,気力回復,-3,,,重甲虫の堅殻,6,重甲虫の鋭爪,2,重甲虫の堅胸殻,5,モンスターの濃汁,6
セルタスＳガード,0,2,5,2,5,8,27,79,-3,4,0,-2,-4,装填速度,4,砲術,2,気力回復,-3,,,,,重甲虫の堅殻,6,重甲虫の鋭爪,2,重甲虫の堅胸殻,5,モンスターの濃汁,6
グラビドＳアーム,0,1,5,2,5,8,57,126,3,-4,0,2,-3,匠,2,防御,2,ガード性能,4,スタミナ,-2,,,鎧竜の堅殻,2,鎧竜の頭殻,1,堅竜骨,1,獄炎石,1
グラビドＳガード,0,2,5,2,5,8,29,80,4,-3,1,3,-2,反動,4,防御,2,スタミナ,-2,装填数,2,,,鎧竜の堅殻,2,鎧竜の頭殻,1,堅竜骨,1,獄炎石,1
クックＵアーム,0,1,5,2,4,7,47,120,3,-4,-3,0,2,達人,3,聴覚保護,-1,スタミナ,2,,,,,青怪鳥の上鱗,3,青怪鳥の堅殻,2,強靭な鳥竜皮,2,堅牢な骨,3
クックＵガード,0,2,5,2,4,7,23,78,4,-3,-2,1,3,達人,3,聴覚保護,-1,スタミナ,2,,,,,青怪鳥の上鱗,3,青怪鳥の堅殻,2,強靭な鳥竜皮,2,堅牢な骨,3
バサルＳアーム,0,1,5,2,5,99,50,121,-1,-2,1,1,-3,納刀,3,食事,3,腹減り,-2,耐泥耐雪,1,,,岩竜の堅殻,3,ドラグライト鉱石,5,猛毒袋,3,ユニオン鉱石,6
バサルＳガード,0,2,5,2,5,99,25,79,0,-1,2,2,-2,納刀,3,食事,3,腹減り,-2,耐泥耐雪,1,,,岩竜の堅殻,3,ドラグライト鉱石,5,猛毒袋,3,ユニオン鉱石,6
ガルルガＳアーム,0,1,5,2,6,9,60,127,3,-4,3,-4,1,剣術,-1,達人,2,聴覚保護,2,斬れ味,2,,,黒狼鳥の上鱗,5,黒狼鳥の堅殻,3,黒狼鳥の尻尾,1,堅竜骨,2
ガルルガＳガード,0,2,5,2,6,9,30,80,4,-3,4,-3,2,達人,2,聴覚保護,2,スタミナ,-1,貫通弾強化,2,,,黒狼鳥の上鱗,5,黒狼鳥の堅殻,3,黒狼鳥の尻尾,1,堅竜骨,2
モノブロＳアーム,0,1,5,2,99,8,57,126,0,2,-3,-4,2,攻撃,3,底力,2,加護,-2,,,,,一角竜の堅甲,2,上質な真紅の角,1,一角竜の堅殻,4,堅竜骨,3
モノブロＳガード,0,2,5,2,99,8,29,80,1,3,-2,-3,3,攻撃,3,底力,2,加護,-2,,,,,一角竜の堅甲,2,上質な真紅の角,1,一角竜の堅殻,4,堅竜骨,3
ブランゴアーム,0,1,5,0,5,99,55,124,-4,2,0,2,1,攻撃,2,耐暑,-2,耐寒,3,耐泥耐雪,2,,,雪獅子の剛毛,2,白兎獣の凍爪,2,白兎獣の堅腹甲,2,堅牢な骨,2
ブランゴガード,0,2,5,0,5,99,28,80,-3,3,1,3,2,攻撃,2,耐暑,-2,耐寒,3,耐泥耐雪,2,,,雪獅子の剛毛,2,白兎獣の凍爪,2,白兎獣の堅腹甲,2,堅牢な骨,2
ガブルアーム,0,1,5,1,5,99,52,123,-2,3,-4,0,1,達人,5,食事,2,回復速度,-2,,,,,灯魚竜の上皮,4,灯魚竜の上棘,1,化け鮫の鱗,3,竜骨【中】,5
ガブルガード,0,2,5,1,5,99,26,79,-1,4,-3,1,2,達人,5,食事,2,回復速度,-2,,,,,灯魚竜の上皮,4,灯魚竜の上棘,1,化け鮫の鱗,3,竜骨【中】,5
ベリオアーム,0,1,5,1,5,99,57,126,-5,0,-1,3,0,回避性能,2,氷属性攻撃,4,体術,2,気力回復,-2,,,琥珀色の鋭牙,2,白兎獣の剛毛,4,白兎獣の堅腹甲,3,,
ベリオガード,0,2,5,1,5,99,29,80,-4,1,0,4,1,回避性能,1,氷属性攻撃,4,体術,2,気力回復,-2,,,琥珀色の鋭牙,2,白兎獣の剛毛,4,白兎獣の堅腹甲,3,,
ハイメタＳアーム,0,1,5,1,99,7,18,114,-2,-2,3,-1,0,防御,3,研ぎ師,2,毒,-2,,,,,※店売り,1,,,,,,
ハイメタＳガード,0,2,5,1,99,7,9,75,-1,-1,4,0,1,防御,3,通常弾強化,2,毒,-2,,,,,※店売り,1,,,,,,
イーオスーツグラブ,0,1,5,2,5,8,41,116,2,1,1,1,1,運気,2,毒,3,気絶,-2,,,,,イーオスの上皮,4,イーオスの上鱗,4,イーオスの毒牙,8,猛毒袋,3
イーオスーツハンド,0,2,5,2,5,8,21,78,3,2,2,2,2,採取,-2,運気,4,火耐性,2,,,,,イーオスの上皮,4,イーオスの上鱗,4,イーオスの毒牙,8,猛毒袋,3
オウビートマーノ,1,1,5,2,5,99,43,118,3,-5,3,-4,2,採取,2,回避性能,2,特殊攻撃,2,耐寒,-2,,,オオツノアゲハ,1,マレコガネ,1,電撃袋,1,麻痺袋,2
オウビートブラッソ,1,2,5,2,5,99,21,78,4,-4,5,-3,2,採取,2,回避性能,2,特殊攻撃,2,耐寒,-2,,,オオツノアゲハ,1,マレコガネ,1,電撃袋,1,麻痺袋,2
パピメルマーノ,2,1,5,2,5,99,43,118,3,-5,3,-4,2,採取,2,回避性能,2,特殊攻撃,2,耐寒,-2,,,オオツノアゲハ,1,マレコガネ,1,電撃袋,1,麻痺袋,2
パピメルブラッソ,2,2,5,2,5,99,21,78,4,-4,5,-3,2,採取,2,回避性能,2,特殊攻撃,2,耐寒,-2,,,オオツノアゲハ,1,マレコガネ,1,電撃袋,1,麻痺袋,2
アーティアＳアーム,0,1,5,2,5,9,51,122,0,-3,-3,2,3,属性解放,4,抜刀会心,2,ガード強化,3,,,,,太古の破片,6,フルクライト鉱石,2,さびた破片,2,天空の結晶,10
アーティアＳガード,0,2,5,2,5,9,26,79,1,-2,-2,3,4,反動,4,速射,3,痛撃,3,,,,,太古の破片,6,フルクライト鉱石,2,さびた破片,2,天空の結晶,10
三眼の腕輪,0,0,5,3,4,7,18,77,0,3,-3,0,1,,,,,,,,,,,カブレライト鉱石,3,ノヴァクリスタル,2,,,,
ゴアＳアーム,0,1,6,0,5,99,52,123,-5,3,-3,2,-2,細菌学,4,匠,2,闘魂,4,火耐性,-4,,,黒蝕竜の鋭惨爪,5,黒蝕竜の上暗翼,2,黒蝕竜の堅殻,5,黒蝕竜の暗翼,2
ゴアＳガード,0,2,6,0,5,99,26,79,-4,4,-2,3,-1,細菌学,4,闘魂,3,装填数,2,火耐性,-5,,,黒蝕竜の鋭惨爪,5,黒蝕竜の上暗翼,2,黒蝕竜の堅殻,5,黒蝕竜の暗翼,2
レギオスＳアーム,0,1,6,1,99,9,58,125,3,0,-3,-2,0,剣術,4,研ぎ師,-3,体術,4,裂傷,1,,,千刃竜の刻爪,5,千刃竜の尖翼爪,4,千刃竜の飛刃,3,ノヴァクリスタル,2
レギオスＳガード,0,2,6,1,99,9,29,80,4,1,-2,-1,1,装填速度,-2,反動,4,体術,4,裂傷,1,,,千刃竜の刻爪,5,千刃竜の尖翼爪,4,千刃竜の飛刃,3,ノヴァクリスタル,2
ゲリョスＵアーム,0,1,6,0,4,7,48,121,-5,2,3,-2,0,達人,-1,風圧,4,気絶,2,,,,,ゴム質の紫皮,3,毒怪鳥の紫翼,2,大地の結晶,4,ゲネポスの上鱗,2
ゲリョスＵガード,0,2,6,0,4,7,24,78,-4,3,4,-1,1,達人,-1,風圧,4,気絶,2,,,,,ゴム質の紫皮,3,毒怪鳥の紫翼,2,大地の結晶,4,ゲネポスの上鱗,2
フルフルＵアーム,0,1,6,2,5,8,51,122,1,-5,1,2,1,回復量,1,広域,3,回復速度,-2,,,,,魅惑色の柔皮,3,アルビノの霜降り,1,ユニオン鉱石,4,生命の粉塵,3
フルフルＵガード,0,2,6,2,5,8,26,79,2,-4,2,3,2,回復量,1,広域,3,回復速度,-2,,,,,魅惑色の柔皮,3,アルビノの霜降り,1,ユニオン鉱石,4,生命の粉塵,3
リオハートアーム,0,1,6,1,5,8,51,122,3,0,-2,0,-4,底力,1,火属性攻撃,5,風圧,2,気配,-1,,,桜火竜の堅殻,2,桜火竜の上鱗,4,尖竜骨,3,雌火竜の逆鱗,1
リオハートガード,0,2,6,1,5,8,26,79,4,1,-1,1,-3,底力,1,火属性攻撃,5,風圧,2,気配,-1,,,桜火竜の堅殻,2,桜火竜の上鱗,4,尖竜骨,3,雌火竜の逆鱗,1
リオソウルアーム,0,1,6,1,6,9,58,125,3,0,0,-2,-4,達人,5,体力,-2,聴覚保護,1,斬れ味,2,,,蒼火竜の堅殻,2,蒼火竜の尻尾,3,堅竜骨,3,カブレライト鉱石,3
リオソウルガード,0,2,6,1,6,9,29,80,4,1,1,-1,-3,達人,5,体力,-2,聴覚保護,1,通常弾強化,1,,,蒼火竜の堅殻,2,蒼火竜の尻尾,3,堅竜骨,3,カブレライト鉱石,3
レックスＵアーム,0,1,6,1,6,9,59,126,2,-4,-2,0,-1,聴覚保護,1,研ぎ師,-1,観察眼,2,食事,3,,,黒轟竜の鋭牙,3,黒轟竜の上鱗,5,堅竜骨,3,イーオスの上鱗,10
レックスＵガード,0,2,6,1,6,9,29,80,3,-3,-1,1,0,反動,-1,聴覚保護,1,観察眼,2,食事,3,,,黒轟竜の鋭牙,3,黒轟竜の上鱗,5,堅竜骨,3,イーオスの上鱗,10
ジンオウＵアーム,0,1,6,1,6,9,53,124,0,-4,-5,0,4,回避性能,1,溜め短縮,1,無傷,3,龍属性攻撃,2,回復量,-2,獄狼竜の尖爪,5,獄狼竜の龍殻,4,獄狼竜の龍毛,3,ノヴァクリスタル,2
ジンオウＵガード,0,2,6,1,6,9,27,79,1,-3,-4,1,5,回避性能,1,無傷,3,装填数,1,龍属性攻撃,2,回復量,-2,獄狼竜の尖爪,5,獄狼竜の龍殻,4,獄狼竜の龍毛,3,ノヴァクリスタル,2
グラビドＵアーム,0,1,6,2,6,9,58,125,3,-5,1,1,1,防御,2,ガード強化,2,スタミナ,-2,燃鱗,3,,,黒鎧竜の堅殻,2,鎧竜の堅殻,1,堅竜骨,3,爆炎袋,3
グラビドＵガード,0,2,6,2,6,9,29,80,4,-4,2,2,2,防御,2,ガード強化,2,スタミナ,-2,燃鱗,3,,,黒鎧竜の堅殻,2,鎧竜の堅殻,1,堅竜骨,3,爆炎袋,3
ブラキＳアーム,0,1,6,1,6,9,57,126,3,-4,0,-2,0,抜刀会心,1,闘魂,3,回避性能,-2,底力,3,爆弾強化,3,砕竜の堅黒曜甲,3,砕竜の剛拳,1,なぞの粘菌,3,ノヴァクリスタル,1
ブラキＳガード,0,2,6,1,6,9,28,80,4,-3,1,-1,1,速射,1,闘魂,3,回避性能,-2,底力,3,爆弾強化,3,砕竜の堅黒曜甲,3,砕竜の剛拳,1,なぞの粘菌,3,ノヴァクリスタル,1
バンギスアーム,0,1,6,0,7,9,62,127,0,0,-4,1,-4,攻撃,3,斬れ味,3,食事,2,腹減り,-2,,,恐暴竜の黒鱗,6,恐暴竜の大牙,5,恐暴竜の唾液,3,砕竜の骨髄,1
バンギスガード,0,2,6,0,7,9,31,80,1,1,-3,2,-3,反動,3,攻撃,4,食事,3,腹減り,-2,,,恐暴竜の黒鱗,6,恐暴竜の大牙,5,恐暴竜の唾液,3,砕竜の骨髄,1
バサルＵアーム,0,1,6,2,5,99,53,124,0,-2,0,-3,1,ガード性能,3,耐暑,3,毒,2,麻痺,-2,,,桃岩竜の堅殻,3,カブレライト鉱石,5,猛毒袋,3,桃岩竜の翼,2
バサルＵガード,0,2,6,2,5,99,27,79,1,-1,1,-2,2,通常弾強化,2,耐暑,3,毒,2,麻痺,-2,,,桃岩竜の堅殻,3,カブレライト鉱石,5,猛毒袋,3,桃岩竜の翼,2
キリンＳアームロング,0,1,6,2,8,99,60,127,-3,-3,5,-1,3,属性解放,2,属性耐性,2,運気,-3,属性攻撃,2,,,キリンの上皮,3,キリンの雷尾,3,青怪鳥の堅殻,6,フルクライト鉱石,2
キリンＳグローブ,0,2,6,2,8,99,30,80,-2,-2,6,0,4,属性解放,2,属性耐性,2,運気,-3,属性攻撃,2,,,キリンの上皮,3,キリンの雷尾,3,青怪鳥の堅殻,6,フルクライト鉱石,2
ラギアアーム,0,1,6,1,6,99,60,127,-5,1,3,-1,-1,属性解放,3,痛撃,3,特殊攻撃,-2,溜め短縮,3,,,海竜の高電殻,1,蒼火竜の上鱗,3,蒼火竜の翼,3,,
ラギアガード,0,2,6,1,6,99,30,80,-4,2,4,0,0,属性解放,3,痛撃,3,特殊攻撃,-2,溜め短縮,3,,,海竜の高電殻,1,蒼火竜の上鱗,3,蒼火竜の翼,3,,
アグナアーム,0,1,6,2,6,99,59,126,3,-5,0,-1,0,ガード性能,1,底力,-2,火属性攻撃,3,燃鱗,1,,,炎戈竜の堅殻,4,黒轟竜の尖爪,2,紅蓮石,4,,
アグナガード,0,2,6,1,6,99,30,80,4,-4,1,0,1,底力,-2,通常弾強化,3,精密射撃,2,火属性攻撃,2,燃鱗,1,炎戈竜の堅殻,4,黒轟竜の尖爪,2,紅蓮石,4,,
